id,geo_id,vaccine_id,FirstDose,SecondDose,NumberDosesReceived,week_start
435,16,1,19979,179,45600,2021-02-05
436,16,3,34994,22624,85410,2021-02-05
437,16,4,242,2727,21600,2021-02-05
438,16,5,2429,0,0,2021-02-05
439,17,1,16458,1,24000,2021-02-05
440,17,3,10603,871,43290,2021-02-05
441,17,4,33,2350,10800,2021-02-05
442,18,1,1209,0,2400,2021-02-05
443,18,3,0,11,2340,2021-02-05
444,18,4,51,883,1200,2021-02-05
445,19,1,19638,0,542400,2021-02-05
446,19,3,252223,136094,510120,2021-02-05
447,19,4,18188,2216,132000,2021-02-05
448,20,1,7386,0,7386,2021-02-05
449,20,3,11665,6969,18634,2021-02-05
450,20,4,646,1063,1709,2021-02-05
451,21,1,1618,0,4800,2021-02-05
452,21,3,1389,1950,4680,2021-02-05
453,21,4,313,0,0,2021-02-05
454,22,1,2903,0,9600,2021-02-05
455,22,3,345,919,0,2021-02-05
456,22,4,70,907,3600,2021-02-05
457,23,1,162,0,NULL,2021-02-05
458,23,3,5737,6451,NULL,2021-02-05
459,23,4,382,9,NULL,2021-02-05
460,24,1,545,0,95040,2021-02-05
461,24,3,121832,87256,159120,2021-02-05
462,24,4,3692,0,38400,2021-02-05
463,24,6,52,10,0,2021-02-05
464,25,6,55672,24016,70800,2021-02-05
465,26,1,21350,0,146400,2021-02-05
466,26,3,238506,199091,321750,2021-02-05
467,26,4,12642,2,82000,2021-02-05
468,27,1,9351,0,48000,2021-02-05
469,27,3,28175,97258,87750,2021-02-05
470,27,4,1561,1028,22800,2021-02-05
471,28,1,0,0,174000,2021-02-05
472,28,3,3701,229471,224640,2021-02-05
473,28,4,26660,1,0,2021-02-05
474,29,1,8710,0,45600,2021-02-05
475,29,3,27447,67648,94770,2021-02-05
476,29,4,10626,87,31200,2021-02-05
477,30,1,2101,0,19200,2021-02-05
478,30,3,12360,4391,17550,2021-02-05
479,30,4,2854,1,0,2021-02-05
480,30,6,1,1,NULL,2021-02-05
481,31,1,11815,0,28800,2021-02-05
482,31,3,34175,31550,45630,2021-02-05
483,31,4,4657,0,12000,2021-02-05
484,0,1,31371,2,76800,2021-02-12
485,0,3,25883,38178,80730,2021-02-12
486,0,4,3833,195,0,2021-02-12
487,1,1,10159,0,96000,2021-02-12
488,1,3,36880,62021,117000,2021-02-12
489,1,4,804,3416,0,2021-02-12
490,2,1,26911,1,57600,2021-02-12
491,2,3,7991,5949,0,2021-02-12
492,2,4,2785,328,0,2021-02-12
493,4,1,4705,0,0,2021-02-12
494,4,3,4073,4175,9360,2021-02-12
495,4,4,111,209,2400,2021-02-12
496,5,1,8283,0,36000,2021-02-12
497,5,3,36078,40162,91260,2021-02-12
498,5,4,6864,3513,0,2021-02-12
499,6,1,141913,0,715200,2021-02-12
500,6,3,401298,325496,904410,2021-02-12
501,6,4,26899,13036,182400,2021-02-12
502,7,1,24112,0,47880,2021-02-12
503,7,3,59485,6033,65520,2021-02-12
